Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_04/original/batch04_contract_090.sol,"Mythril, Slither",-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_091.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_092.sol,-,Osiris,-,-,-,-,-,"Mythril, Oyente, Slither",Mythril
contracts/batch_04/original/batch04_contract_093.sol,-,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_094.sol,Slither,-,-,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_095.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_096.sol,Slither,Osiris,Mythril,Mythril,-,-,Slither,Mythril,-
contracts/batch_04/original/batch04_contract_097.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_098.sol,Slither,Oyente,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_099.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_100.sol,Slither,"Osiris, Oyente",-,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_101.sol,-,"Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_102.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_103.sol,Slither,"Mythril, Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_104.sol,Slither,"Osiris, Oyente",-,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_105.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_106.sol,"Mythril, Slither",-,-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/batch_04/original/batch04_contract_107.sol,-,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_108.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_109.sol,-,"Mythril, Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_110.sol,Slither,-,Mythril,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_111.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_112.sol,Slither,Oyente,-,-,-,-,Slither,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_113.sol,-,Oyente,-,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_114.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_115.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_116.sol,Slither,-,-,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_117.sol,"Mythril, Osiris, Slither",Oyente,Mythril,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contracts/batch_04/original/batch04_contract_118.sol,-,-,-,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_119.sol,-,"Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_120.sol,-,Osiris,-,Mythril,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_121.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_122.sol,-,Mythril,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_123.sol,Mythril,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_124.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_125.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_126.sol,-,"Osiris, Oyente",-,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_127.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_128.sol,Slither,"Mythril, Osiris, Oyente",-,Mythril,-,-,-,Slither,-
contracts/batch_04/original/batch04_contract_129.sol,Slither,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_130.sol,-,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_131.sol,"Mythril, Slither",-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_132.sol,-,"Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",-
contracts/batch_04/original/batch04_contract_134.sol,-,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_135.sol,Slither,"Osiris, Oyente",-,-,"Osiris, Oyente",-,Slither,-,-
contracts/batch_04/original/batch04_contract_136.sol,"Mythril, Slither",-,Mythril,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_137.sol,Slither,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_138.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_139.sol,Mythril,"Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_140.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_141.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_142.sol,-,"Mythril, Oyente",Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_143.sol,Slither,Osiris,Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_144.sol,Slither,Oyente,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_145.sol,-,"Osiris, Oyente",Mythril,-,-,-,-,"Oyente, Slither",-
contracts/batch_04/original/batch04_contract_146.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_147.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_148.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_149.sol,-,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_150.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_152.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_153.sol,-,Osiris,-,-,-,-,-,"Mythril, Slither",-
